title,label,filtered_title,emo_label
Exclusive: Foreign Isis Fighters Defend Mosul Frontline as Locals Flee,FAKE,Exclusive : Foreign Isis Fighters Defend Mosul Frontline Locals Flee,joy
The President Of The United States of America: Donald J. Trump,FAKE,President United States America : Donald J. Trump,neutral
The GOP Is Dying Off. Literally.,REAL,GOP Dying . Literally .,neutral
Michael Bloomberg Names Technological Unemployment as the Next Administration’s “Greatest Conundrum”,FAKE,Michael Bloomberg Names Technological Unemployment Next Administration ’ “ Greatest Conundrum ”,fear
Carly Fiorina swipes at Trump: ‘Look at this face.’,REAL,Carly Fiorina swipes Trump : ‘ Look face . ’,neutral
Where Donald Trump and Hillary Clinton stand on economic issues,REAL,Donald Trump Hillary Clinton stand economic issues,neutral
Can Anyone Beat Trump in the Primary? History Says No,REAL,Anyone Beat Trump Primary ? History Says,neutral
"Morning Plum: Get ready for another ideological death struggle, this time over climate",REAL,"Morning Plum : Get ready another ideological death struggle , time climate",neutral
Two Points About the Hillary Clinton Email Fiasco,FAKE,Two Points Hillary Clinton Email Fiasco,anger
IT Firm Wins $63Mln US Army Contract in South Korea - NCI,FAKE,Firm Wins $ 63Mln US Army Contract South Korea - NCI,neutral
"Terror attack over, 147 dead at Kenya university",REAL,"Terror attack , 147 dead Kenya university",fear
"Wall Street, Hollywood, The Media And SJWs Fail To Stop Donald Trump From Becoming America’s 45th President",FAKE,"Wall Street , Hollywood , Media SJWs Fail Stop Donald Trump Becoming America ’ 45th President",fear
Robert Durst of HBO's 'The Jinx' charged with murder,REAL,Robert Durst HBO 's 'The Jinx ' charged murder,anger
Why the Iraq offensive will fail,REAL,Iraq offensive fail,sadness
Hope and hype of Hiroshima can’t conceal Obama’s dismal record on nuclear disarmament,REAL,Hope hype Hiroshima ’ conceal Obama ’ dismal record nuclear disarmament,fear
"650,000 Emails Found On Anthony Weiner’s Laptop; DOJ Blocked Foundation Probe",FAKE,"650,000 Emails Found Anthony Weiner ’ Laptop ; DOJ Blocked Foundation Probe",sadness
Congress Undermines U.S. Global Economic Standing,REAL,Congress Undermines U.S . Global Economic Standing,neutral
Iran nuclear talks: What if the deal falls through?,REAL,Iran nuclear talks : deal falls ?,sadness
Election’s Rape And Sexual Assault Accusations Need to Be Taken Seriously,FAKE,Election ’ Rape Sexual Assault Accusations Need Taken Seriously,fear
Democratic convention: passionate end to day one steadies early drama,REAL,Democratic convention : passionate end day one steadies early drama,joy
The GOP's big-money plan to save the Senate,REAL,GOP 's big-money plan save Senate,neutral
It Turns Out Trump Put off Investigators for 6 Months While He Destroyed Emails,FAKE,Turns Trump Put Investigators 6 Months Destroyed Emails,anger
Russian Navy Moves Guided Missile Ships to Baltic,FAKE,Russian Navy Moves Guided Missile Ships Baltic,neutral
Cruz blasts Trump as phony conservative in front of CPAC crowd,REAL,Cruz blasts Trump phony conservative front CPAC crowd,anger
Taking Trump voters’ concerns seriously means listening to what they’re actually saying,REAL,Taking Trump voters ’ concerns seriously means listening ’ actually saying,neutral
Donald Trump’s campaign of terror: How a billionaire channeled his authoritarian rage — and soared to the top of the polls,REAL,Donald Trump ’ campaign terror : billionaire channeled authoritarian rage — soared top polls,fear
BRICS Countries to Invest $500 Million in Russian Gold Deposit - Kira Egorova,FAKE,BRICS Countries Invest $ 500 Million Russian Gold Deposit - Kira Egorova,joy
“There is such a thing as being too late”: Obama issues a desperate call for a global climate deal,REAL,“ thing late ” : Obama issues desperate call global climate deal,fear
Hybrid Wars 8. Strategies Against Africa – Introduction,FAKE,Hybrid Wars 8 . Strategies Africa – Introduction,neutral
We’re All Going To Lose On November 8th: Get Prepped With This Post-Election Chaos Checklist (VIDEO),FAKE,’ Going Lose November 8th : Get Prepped Post-Election Chaos Checklist ( VIDEO ),neutral
HIV ‘Cure’ Almost Complete after Scientists Remove Virus’s DNA from Living Tissue,FAKE,HIV ‘ Cure ’ Almost Complete Scientists Remove Virus ’ DNA Living Tissue,neutral
Vortex Structured Water [Video],FAKE,Vortex Structured Water [ Video ],neutral
Missing on GOP debate stage: A future president (Opinion),REAL,Missing GOP debate stage : future president ( Opinion ),sadness
Senators Seek ‘Living Wage’ for Capitol Hill Contractors,REAL,Senators Seek ‘ Living Wage ’ Capitol Hill Contractors,neutral
Brian Williams Under Fire Over His Shifting Story Of Iraq Helicopter Attack,REAL,Brian Williams Fire Shifting Story Iraq Helicopter Attack,fear
Getting 10 Minutes of Sunlight Per Day Can Stop Depression,FAKE,Getting 10 Minutes Sunlight Per Day Stop Depression,neutral
AUSTRIA: Freedom Party leader calls Chancellor Angela Merkel the “most dangerous woman in Europe”,FAKE,AUSTRIA : Freedom Party leader calls Chancellor Angela Merkel “ dangerous woman Europe ”,fear
The Sex Scandal That Could Change The Election,FAKE,Sex Scandal Could Change Election,disgust
Obama administration announces halt on new coal leases,REAL,Obama administration announces halt new coal leases,sadness
"ObamaCare has cancer. And if it’s not treated quickly and aggressively, it will die",REAL,"ObamaCare cancer . ’ treated quickly aggressively , die",anger
OFF TOPIC: Unlike Muslims…horses actually do have a sense of humor,FAKE,TOPIC : Unlike Muslims…horses actually sense humor,neutral
This Irish TV channel killed their weather presenter for Halloween,FAKE,Irish TV channel killed weather presenter Halloween,sadness
Scientists Claim To Have Found 234 Alien Civilizations,FAKE,Scientists Claim Found 234 Alien Civilizations,neutral
I Am A Syrian Living in Syria: “It was Never a Revolution nor a Civil War. The Terrorists are sent by your Government”,FAKE,Syrian Living Syria : “ Never Revolution Civil War . Terrorists sent Government ”,fear
President Obama's persistent and puzzling passivity on terrorism,REAL,President Obama 's persistent puzzling passivity terrorism,fear
Baby Bonds: A Plan for Black/White Wealth Equality Conservatives Could Love?,FAKE,Baby Bonds : Plan Black/White Wealth Equality Conservatives Could Love ?,neutral
Two-time world champion in kickboxing killed in Moscow. Video,FAKE,Two-time world champion kickboxing killed Moscow . Video,sadness
Jeb's invisible man strategy,REAL,Jeb 's invisible man strategy,neutral
"Death of millions of Yemenis in the ""forgotten war""",FAKE,Death millions Yemenis `` forgotten war '',sadness
"Charlie Hebdo attack: Suspects' names, photos released",REAL,"Charlie Hebdo attack : Suspects ' names , photos released",fear
Why the Ted Cruz-Marco Rubio debate mattered most (+video),REAL,Ted Cruz-Marco Rubio debate mattered ( +video ),joy
"David Sweat shot, captured alive after New York manhunt",REAL,"David Sweat shot , captured alive New York manhunt",fear
Texas county switches to 'emergency paper ballots',FAKE,Texas county switches 'emergency paper ballots ',neutral
"Police Family Fakes Robbery, Vandalizes Own Home to Blame it On Black Lives Matter",FAKE,"Police Family Fakes Robbery , Vandalizes Home Blame Black Lives Matter",anger
"Obama opens up on Iran: What he's learned about war, Republicans, and his foreign policy",REAL,"Obama opens Iran : 's learned war , Republicans , foreign policy",neutral
Why Bernie Sanders's campaign makes me worry about how he’ll manage the White House,REAL,Bernie Sanders 's campaign makes worry ’ manage White House,fear
What DNC Donors REALLY think of African Americans,FAKE,DNC Donors REALLY think African Americans,surprise
Leaked email shows Monsanto Executive V.P. invited to 'Hillraiser' fundraiser to put Clinton into the White House for Monsanto's benefit,FAKE,Leaked email shows Monsanto Executive V.P . invited 'Hillraiser ' fundraiser put Clinton White House Monsanto 's benefit,neutral
Clintons Are Under Multiple FBI Investigations as Agents Are Stymied,FAKE,Clintons Multiple FBI Investigations Agents Stymied,fear
"First Iraqi Troops Enter Mosul, But Fighting Remains Largely in Suburbs",FAKE,"First Iraqi Troops Enter Mosul , Fighting Remains Largely Suburbs",neutral
SHOCK VIDEO : Hillary Needs Help Climbing ONE SINGLE STEP in Florida – TruthFeed,FAKE,SHOCK VIDEO : Hillary Needs Help Climbing ONE SINGLE STEP Florida – TruthFeed,neutral
"After vowing to end two wars, Obama may leave three behind",REAL,"vowing end two wars , Obama may leave three behind",sadness
Climate Engineering And Cryosphere Collapse,FAKE,Climate Engineering Cryosphere Collapse,neutral
Donald Trump Wins The Presidency In Historic Mandate Victory As Hillary Clinton Concedes,FAKE,Donald Trump Wins Presidency Historic Mandate Victory Hillary Clinton Concedes,neutral
"Illegal Thug Returns After Deported Twice, Gives Sick ‘Gift’ To Girlfriend",FAKE,"Illegal Thug Returns Deported Twice , Gives Sick ‘ Gift ’ Girlfriend",sadness
Barack Obama Marks 50th Anniversary Of 'Bloody Sunday' With Powerful Speech In Selma,REAL,Barack Obama Marks 50th Anniversary 'Bloody Sunday ' Powerful Speech Selma,joy
"Ryan meets Trump, says ‘very encouraged’ but unity will take time",REAL,"Ryan meets Trump , says ‘ encouraged ’ unity take time",neutral
Eleven States Sue Obama Admin. over Transgender Directive,REAL,Eleven States Sue Obama Admin . Transgender Directive,neutral
A brutal spoof advert for the new Macbook that highlights everything it doesn’t have,FAKE,brutal spoof advert new Macbook highlights everything ’,anger
"US sailors freed by Iranians. No US apology issued, says Joe Biden",REAL,"US sailors freed Iranians . US apology issued , says Joe Biden",sadness
Could This Be the Real 'Super Tuesday'? A Look at What's at Stake,REAL,Could Real 'Super Tuesday ' ? Look 's Stake,neutral
"Thanks to Obama, the terrorist cancer is growing",REAL,"Thanks Obama , terrorist cancer growing",fear
"Politico Tries to Destroy Trump, But It Backfires IMMEDIATELY",FAKE,"Politico Tries Destroy Trump , Backfires IMMEDIATELY",anger
ICE Agent Commits Suicide in NYC; Leaves Note Revealing Gov’t Plans to Round-up & DISARM Americans During Economic & Bank Collapse | EndingFed News Network,FAKE,ICE Agent Commits Suicide NYC ; Leaves Note Revealing Gov ’ Plans Round-up & DISARM Americans Economic & Bank Collapse | EndingFed News Network,fear
Gold prices on the way to all-time highs,FAKE,Gold prices way all-time highs,surprise
Trump doesn’t have a national campaign. So the GOP is trying to run one for him.,REAL,Trump ’ national campaign . GOP trying run one .,neutral
Republicans in Congress are ready for Hillary as they prepare for new probes into Clinton Foundation,FAKE,Republicans Congress ready Hillary prepare new probes Clinton Foundation,neutral
Some GOP elites aren’t quite convinced by Trump charm offensive,REAL,GOP elites ’ quite convinced Trump charm offensive,neutral
Puh-LEEZE! DOJ’s ‘policy’ reminder to FBI is shameless (especially considering THIS) – twitchy.com,FAKE,Puh-LEEZE ! DOJ ’ ‘ policy ’ reminder FBI shameless ( especially considering ) – twitchy.com,disgust
Show biz: Business and breakthroughs,FAKE,Show biz : Business breakthroughs,surprise
Canada Just Threw A Grenade Into Elizabeth Warren's Trade Fight With Obama,REAL,Canada Threw Grenade Elizabeth Warren 's Trade Fight Obama,anger
"New Company Aims To Explore Intersection Of Technology, Other Thing - The Onion - America's Finest News Source",FAKE,"New Company Aims Explore Intersection Technology , Thing - Onion - America 's Finest News Source",joy
When Will It End? Police Clash with Pipeline Protesters,FAKE,End ? Police Clash Pipeline Protesters,anger
GOP Debate Round 3: Expect Another Wild Night,REAL,GOP Debate Round 3 : Expect Another Wild Night,surprise
A List of Best Password Managers Offering Both Free and Premium Services,FAKE,List Best Password Managers Offering Free Premium Services,neutral
New bionic eye implant connects directly to brain,FAKE,New bionic eye implant connects directly brain,neutral
GLOBAL WARMING ALARMISTS DISAPPOINTED THAT HURRICANE MATTHEW WASN’T WORSE,FAKE,GLOBAL WARMING ALARMISTS DISAPPOINTED HURRICANE MATTHEW ’ WORSE,fear
His campaign’s statement that Trump accepts the truth of Obama’s birthplace is filled with falsehoods,REAL,campaign ’ statement Trump accepts truth Obama ’ birthplace filled falsehoods,neutral
"White House, Dems seek to water down Iran bill",REAL,"White House , Dems seek water Iran bill",neutral
Reporter says Clinton camp denying him access to events,REAL,Reporter says Clinton camp denying access events,anger
Congress's fight over Iran deal enters new phase,REAL,Congress 's fight Iran deal enters new phase,fear
Why LeBron James’s Endorsement Could Help Clinton Retake Ohio,REAL,LeBron James ’ Endorsement Could Help Clinton Retake Ohio,neutral
White House warns Congress: Fight Zika or live to regret it,REAL,White House warns Congress : Fight Zika live regret,sadness
Cuba has a possible lung cancer vaccine that America can now test,REAL,Cuba possible lung cancer vaccine America test,fear
FBI REDUX: What’s Behind New Probe into Hillary Clinton Emails?,FAKE,FBI REDUX : ’ Behind New Probe Hillary Clinton Emails ?,neutral
"Hillary Isn’t Only One Who Suffers Memory Loss, Look What Bill Just Did….",FAKE,"Hillary ’ One Suffers Memory Loss , Look Bill Did… .",sadness
White House counsel reportedly kept in dark on Clinton’s personal email use,REAL,White House counsel reportedly kept dark Clinton ’ personal email use,neutral
Iran talks to be extended another day,REAL,Iran talks extended another day,neutral
Our Debt to Paula Jones,FAKE,Debt Paula Jones,neutral
“Billionaire” Donald Trump’s Presidential Campaign Is Flat Out Broke,FAKE,“ Billionaire ” Donald Trump ’ Presidential Campaign Flat Broke,sadness
Reasons to Risk Nuclear Annihilation,FAKE,Reasons Risk Nuclear Annihilation,fear
Election 2016: Clinton email stumble fuels Dem critics,REAL,Election 2016 : Clinton email stumble fuels Dem critics,fear
"Kurdish forces, backed by U.S. airstrikes, launch offensive in Iraq",REAL,"Kurdish forces , backed U.S. airstrikes , launch offensive Iraq",fear
BAHAHA! Wanna bet Hillary made THIS face when she found out about the FBI? [photo],FAKE,BAHAHA ! Wan na bet Hillary made face found FBI ? [ photo ],surprise
Comment on The Science is “Overwhelming At This Point” Wifi Industry Appeals Brain Tumor Association Ordinance by THE SCIENCE IS “OVERWHELMING AT THIS POINT” WIFI INDUSTRY APPEALS BRAIN TUMOR ASSOCIATION ORDINANC - WAKING SCIENCE,FAKE,Comment Science “ Overwhelming Point ” Wifi Industry Appeals Brain Tumor Association Ordinance SCIENCE “ OVERWHELMING POINT ” WIFI INDUSTRY APPEALS BRAIN TUMOR ASSOCIATION ORDINANC - WAKING SCIENCE,surprise
"“We won, you lost, get over it” Brexiters told outside High Court",FAKE,"“ , lost , get ” Brexiters told outside High Court",sadness
Political Correctness for Yuengling Brewery; What About Our Opioid Epidemic?,FAKE,Political Correctness Yuengling Brewery ; Opioid Epidemic ?,neutral
"As Always, U.S. Adores a Good Sex Scandal",REAL,"Always , U.S. Adores Good Sex Scandal",disgust
Migrants Refuse To Leave Train At Refugee Camp In Hungary,REAL,Migrants Refuse Leave Train Refugee Camp Hungary,anger
Biden previews battle against Clinton,REAL,Biden previews battle Clinton,fear
Links 11/11/16,FAKE,Links 11/11/16,neutral
VIDEO : Sean Hannity “The American People Have Finally Been Heard” – TruthFeed,FAKE,VIDEO : Sean Hannity “ American People Finally Heard ” – TruthFeed,neutral
"Mike Brown Family Suing Ferguson, Wilson",REAL,"Mike Brown Family Suing Ferguson , Wilson",sadness
SWEDISH OUTRAGE as Muslim colonizers get preference for housing while native Swedes are out in the cold,FAKE,SWEDISH OUTRAGE Muslim colonizers get preference housing native Swedes cold,neutral
U.S. LAWMAKERS RAISE PRIVACY CONCERNS OVER NEW HACKING RULES,FAKE,U.S . LAWMAKERS RAISE PRIVACY CONCERNS NEW HACKING RULES,neutral
Sanders’ challenge: Winning over Obama supporters,REAL,Sanders ’ challenge : Winning Obama supporters,neutral
U.S. Currency Hidden Images,FAKE,U.S. Currency Hidden Images,neutral
GOP lands no solid punches while sparring with Clinton over Benghazi,REAL,GOP lands solid punches sparring Clinton Benghazi,neutral
"A nuclear deal has been reached, but Iran must free Jason Rezaian",REAL,"nuclear deal reached , Iran must free Jason Rezaian",neutral
"South Carolina, Nevada polls find Clinton far ahead",REAL,"South Carolina , Nevada polls find Clinton far ahead",neutral
Will Hillary Clinton lose the election because of the FBI email investigation?,REAL,Hillary Clinton lose election FBI email investigation ?,surprise
"Monsanto Behind 4-Years-in-the-Making, Failed Peace Deal in Colombia",FAKE,"Monsanto Behind 4-Years-in-the-Making , Failed Peace Deal Colombia",sadness
Oathkeepers to Prevent Voter Fraud- Operation Sabot,FAKE,Oathkeepers Prevent Voter Fraud- Operation Sabot,fear
Non-mainstream poll shows Trump poised to win with 76% chance,FAKE,Non-mainstream poll shows Trump poised win 76 % chance,neutral
Stossel: Why Marco Rubio and Hillary Clinton are 2016's likely nominees,REAL,Stossel : Marco Rubio Hillary Clinton 2016 's likely nominees,neutral
The Source of our Rage       :,FAKE,Source Rage :,anger
Donald Trump Campaign Manager Is Out,REAL,Donald Trump Campaign Manager,neutral
"We must smash the Clinton machine: Democratic elites and the media sold out to Hillary this time, but change is coming",REAL,"must smash Clinton machine : Democratic elites media sold Hillary time , change coming",anger
5 takeaways from the first presidential debate,REAL,5 takeaways first presidential debate,neutral
"@POTUS joins Twitter, jokes with @BillClinton",REAL,"@ POTUS joins Twitter , jokes @ BillClinton",joy
Trump Supporters Booby Trap Polling Place And Spill Blood Of Election Volunteer (VIDEO) | Addicting Info | The Knowledge You Crave,FAKE,Trump Supporters Booby Trap Polling Place Spill Blood Election Volunteer ( VIDEO ) | Addicting Info | Knowledge Crave,neutral
Obama on 'The Daily Show:' What happened to common conversation? (+video),REAL,Obama 'The Daily Show : ' happened common conversation ? ( +video ),surprise
It’s not about mental illness: The big lie that always follows mass shootings by white males,REAL,’ mental illness : big lie always follows mass shootings white males,sadness
GOP Candidates Say Paris Attacks Highlight U.S. Leadership Failure,REAL,GOP Candidates Say Paris Attacks Highlight U.S . Leadership Failure,fear
Report: Freddie Gray sustained injury in police van,REAL,Report : Freddie Gray sustained injury police van,sadness
"Sure, We Want An Honest And Trustworthy President, But It's Complicated",REAL,"Sure , Want Honest Trustworthy President , 's Complicated",neutral
"Comment on ‘Voting Is Rigged & Used To Pacify The Public’ Says Three-Time US Presidential Candidate Ron Paul by Anonymous: There Is No One Way To Live On This Planet, But We Can Be Harmonious – Collective Evolution",FAKE,"Comment ‘ Voting Rigged & Used Pacify Public ’ Says Three-Time US Presidential Candidate Ron Paul Anonymous : One Way Live Planet , Harmonious – Collective Evolution",neutral
The Pope vs. America,REAL,Pope vs. America,neutral
Bernie Sanders to announce 2016 intentions on Thursday,REAL,Bernie Sanders announce 2016 intentions Thursday,joy
The problem with Cruz and Kasich aligning to stop Donald Trump,REAL,problem Cruz Kasich aligning stop Donald Trump,neutral
Brexiters set up demented ‘people’s courts’,FAKE,Brexiters set demented ‘ people ’ courts ’,anger
"Prime Minister of France says, “if we grant immediate asylum to illegal alien Muslim invaders, by tomorrow they will be speaking French and sharing French values”",FAKE,"Prime Minister France says , “ grant immediate asylum illegal alien Muslim invaders , tomorrow speaking French sharing French values ”",neutral
US Presidential Elections Sound a Warning of Catastrophes to Come,FAKE,US Presidential Elections Sound Warning Catastrophes Come,fear
The Overwhelming Stress of Being Denied a Bathroom,REAL,Overwhelming Stress Denied Bathroom,sadness
DONALD TRUMP & DEUTSCHE BANK: DID CLINTONS LEAN ON US JUSTICE DEPARTMENT?,FAKE,DONALD TRUMP & DEUTSCHE BANK : CLINTONS LEAN US JUSTICE DEPARTMENT ?,neutral
Why You Should Stop Apologizing for Doing All That You Can,FAKE,Stop Apologizing,anger
Clinton Gets Back In The Game After Blowout Loss To Sanders In N.H.,REAL,Clinton Gets Back Game Blowout Loss Sanders N.H .,sadness
WikiLeaks Documents Reveal United Nations Interest In UFOs,FAKE,WikiLeaks Documents Reveal United Nations Interest UFOs,fear
The Senate's 46 Democrats got 20 million more votes than its 54 Republicans,REAL,Senate 's 46 Democrats got 20 million votes 54 Republicans,neutral
Fashwave Friday: Endgame,FAKE,Fashwave Friday : Endgame,surprise
"Blog: If Donald Trump Pardons Me, I Would Be Honored To Serve As Secretary Of Agriculture",FAKE,"Blog : Donald Trump Pardons , Would Honored Serve Secretary Agriculture",neutral
Hung jury in Jodi Arias sentencing phase removes possibility of death sentence,REAL,Hung jury Jodi Arias sentencing phase removes possibility death sentence,neutral
Chris Christie Bolsters Political Team as Allies Launch Super PAC,REAL,Chris Christie Bolsters Political Team Allies Launch Super PAC,neutral
Re: Why Did Attorney General Loretta Lynch Plead The Fifth?,FAKE,: Attorney General Loretta Lynch Plead Fifth ?,neutral
The Fear of Being Gay in Russia,REAL,Fear Gay Russia,fear
Federal court: NSA phone record collection is excessive,REAL,Federal court : NSA phone record collection excessive,anger
BREAKING: THE REAL REASON HILLARY CLINTON WONT BE CHARGED BY THE FBI,FAKE,BREAKING : REAL REASON HILLARY CLINTON WONT CHARGED FBI,anger
"Blame Government, Not Markets, for Monopoly",FAKE,"Blame Government , Markets , Monopoly",anger
Michael Oliver – Here Is The Big Picture For Gold After The Takedown,FAKE,Michael Oliver – Big Picture Gold Takedown,joy
Hillary Clinton speech to attack Donald Trump's 'dangerous' foreign policy plans,REAL,Hillary Clinton speech attack Donald Trump 's 'dangerous ' foreign policy plans,fear
‘Take The Money!!’: Emails Show How Clinton Campaign Manages Lobbyist Donations,REAL,‘ Take Money ! ! ’ : Emails Show Clinton Campaign Manages Lobbyist Donations,neutral
Military op to retake Mosul from ISIS,FAKE,Military op retake Mosul ISIS,neutral
"Iowa caucus results: Ted Cruz wins, Hillary Clinton declares victory",REAL,"Iowa caucus results : Ted Cruz wins , Hillary Clinton declares victory",joy
"Lesson learned? Goldman Sachs says not to expect ""Brexit-type surprise"" on Nov. 8",FAKE,Lesson learned ? Goldman Sachs says expect `` Brexit-type surprise '' Nov. 8,surprise
Three Ways to Recharge Your Energy Using Crystals,FAKE,Three Ways Recharge Energy Using Crystals,neutral
"Obama Spends Earth Day In The Everglades, Taunting Republicans On Climate Change",REAL,"Obama Spends Earth Day Everglades , Taunting Republicans Climate Change",fear
Donald Trump doesn't challenge anti-Muslim questioner,REAL,Donald Trump n't challenge anti-Muslim questioner,anger
Lawyer Who Kept Hillary Campaign Chief Out of Jail in DOJ Hillary Probe,FAKE,Lawyer Kept Hillary Campaign Chief Jail DOJ Hillary Probe,sadness
"Trump claims GOP nomination, tells struggling Americans 'I am your voice'",REAL,"Trump claims GOP nomination , tells struggling Americans ' voice '",fear
Quit Smoking! Smoking Cigarettes Causes 150 Genetic Mutations and Cancer,FAKE,Quit Smoking ! Smoking Cigarettes Causes 150 Genetic Mutations Cancer,anger
Claire McCaskill Accuses Marco Rubio Of Shirking Principles On Immigration,REAL,Claire McCaskill Accuses Marco Rubio Shirking Principles Immigration,neutral
"Obamacare Is Back At The Supreme Court, And These 6 Lives Hang In The Balance",REAL,"Obamacare Back Supreme Court , 6 Lives Hang Balance",neutral
4 Things The New Hampshire Primary Will Tell Us,REAL,4 Things New Hampshire Primary Tell Us,neutral
The Latest ABC/WaPo Poll Has the Hillary Campaign Sounding the Alarms,FAKE,Latest ABC/WaPo Poll Hillary Campaign Sounding Alarms,fear
"32,000 emails recovered in IRS targeting probe amid allegations agency chief may have lied",REAL,"32,000 emails recovered IRS targeting probe amid allegations agency chief may lied",sadness
Banana Republic Election in the United States?,FAKE,Banana Republic Election United States ?,neutral
TIME MAGAZINE Reaches NEW LOW: It’s “Sexist” To Investigate Hillary Clinton!”,FAKE,TIME MAGAZINE Reaches NEW LOW : ’ “ Sexist ” Investigate Hillary Clinton ! ”,fear
"If Donald Trump Wins The Election, It Will Be The Biggest Miracle In US Political History",FAKE,"Donald Trump Wins Election , Biggest Miracle US Political History",surprise
"Comment on Creating a National Security State ‘Democracy,’ Or How the American Political System Changed and No One Noticed by James Miller",FAKE,"Comment Creating National Security State ‘ Democracy , ’ American Political System Changed One Noticed James Miller",surprise
Superbug cases spur FDA warning on dirty medical scopes,REAL,Superbug cases spur FDA warning dirty medical scopes,disgust
PATRIOT Act At 15: Do You Feel Safer?,FAKE,PATRIOT Act 15 : Feel Safer ?,joy
The 8th Democratic Debate In 100 Words (And 4 Videos),REAL,8th Democratic Debate 100 Words ( 4 Videos ),neutral
"Rebels Escalate Attacks on Western Aleppo, Killing 12 Civilians",FAKE,"Rebels Escalate Attacks Western Aleppo , Killing 12 Civilians",fear
Militias prepare for election unrest while Christians fast,FAKE,Militias prepare election unrest Christians fast,fear
Saudi Arabia to behead disabled man for taking part in protests,FAKE,Saudi Arabia behead disabled man taking part protests,anger
Donald Trump threatens to jail Hillary Clinton in second presidential debate,REAL,Donald Trump threatens jail Hillary Clinton second presidential debate,fear
Cars That Broke Bad,FAKE,Cars Broke Bad,sadness
“Has science gone too far?”,FAKE,“ science gone far ? ”,surprise
Tics and tricks: Here's what Trump and Clinton's body language reveals,REAL,Tics tricks : 's Trump Clinton 's body language reveals,neutral
Green Party’s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic,FAKE,Green Party ’ Margaret Flowers Challenges US Senate Debate Maryland Undemocratic,neutral
Obama ISIS war authorization: Request sent to Congress,REAL,Obama ISIS war authorization : Request sent Congress,neutral
Donald Trump's Problems Are Much Deeper Than A Campaign Manager,REAL,Donald Trump 's Problems Much Deeper Campaign Manager,sadness
Marcus Mumford after Bundy verdict.,FAKE,Marcus Mumford Bundy verdict .,neutral
#2816: Clinton Pride’s 8(a) Pig Farm Bridge – Serco Zulu Server Snuff –Soros's Patented Voter Key,FAKE,# 2816 : Clinton Pride ’ 8 ( ) Pig Farm Bridge – Serco Zulu Server Snuff –Soros 's Patented Voter Key,neutral
"Obama's Presidential Library Will Be In Chicago, Foundation Announces",REAL,"Obama 's Presidential Library Chicago , Foundation Announces",joy
Republicans are crossing a dangerous new line: sabotaging US foreign policy,REAL,Republicans crossing dangerous new line : sabotaging US foreign policy,fear
Bully Backs Blowhard for President: Now Christie Likes Trump,REAL,Bully Backs Blowhard President : Christie Likes Trump,anger
Adelson's Review-Journal Gives Trump First Major Endorsement,REAL,Adelson 's Review-Journal Gives Trump First Major Endorsement,joy
"Jeb’s Sad, Quixotic South Carolina Slog",REAL,"Jeb ’ Sad , Quixotic South Carolina Slog",sadness
"U.S. strike believed to have killed ‘Jihadi John,’ Islamic State executioner",REAL,"U.S. strike believed killed ‘ Jihadi John , ’ Islamic State executioner",fear
Dems File Complaint w/DOJ Against FBI for Investigating Hillary,FAKE,Dems File Complaint w/DOJ FBI Investigating Hillary,fear
Tradesman keeps promise,FAKE,Tradesman keeps promise,neutral
"Clinton, Trump and Obama aren't telling American workers the truth. Here it is",REAL,"Clinton , Trump Obama n't telling American workers truth .",sadness
"BREAKING : LGBT Group Endorses Trump, Says, “Hillary is Detrimental for Gays” – TruthFeed",FAKE,"BREAKING : LGBT Group Endorses Trump , Says , “ Hillary Detrimental Gays ” – TruthFeed",disgust
The Political Songs Of Leonard Cohen,FAKE,Political Songs Leonard Cohen,neutral
Alabama Sen. Sessions Backs Trump’s Immigration Platform,REAL,Alabama Sen . Sessions Backs Trump ’ Immigration Platform,neutral
Gary Johnson’s Post-Debate Reactions,REAL,Gary Johnson ’ Post-Debate Reactions,neutral
How the Oligarchy Has Prepared the Groundwork for Stealing the Election,FAKE,Oligarchy Prepared Groundwork Stealing Election,neutral
Reince Priebus is in over his head,REAL,Reince Priebus head,neutral
New Leak Exposes Hillary’s Real Plan For Clinton Foundation Foreign Donors,FAKE,New Leak Exposes Hillary ’ Real Plan Clinton Foundation Foreign Donors,neutral
Excruciating choice for GOP leaders: Take a risk on Trump?,REAL,Excruciating choice GOP leaders : Take risk Trump ?,fear
WIKILEAKS : Hillary Receiving Donations from Radical Muslims in Turkey – TruthFeed,FAKE,WIKILEAKS : Hillary Receiving Donations Radical Muslims Turkey – TruthFeed,neutral
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,REAL,Identity ISIS terrorist known 'Jihadi John ' reportedly revealed,fear
Jeremy Vine already tripping his tits off,FAKE,Jeremy Vine already tripping tits,neutral
“Homicides Up 55 Percent”–Chicago Stays Vibrant,FAKE,“ Homicides 55 Percent ” –Chicago Stays Vibrant,joy
Jake Tapper to moderate 's first GOP debate,REAL,Jake Tapper moderate 's first GOP debate,joy
"After tragic shooting, Charleston church reopens with prayer, songs and tears",REAL,"tragic shooting , Charleston church reopens prayer , songs tears",sadness
Acting out of weakness? Why Obama's dangerously wrong about Putin's intentions in Syria,REAL,Acting weakness ? Obama 's dangerously wrong Putin 's intentions Syria,fear
